Area Code,Cogs,DifferenceBetweenActualandTargetProfit,Date,Inventory Margin,Gross profit,Market_size,Market,Marketing,Product_line,Product_type,Product,Profit,Sales,State,Target_cogs,Target_margin,Target_profit,Target_sales ,Total_expenses,Type,Closing Balance,Ending Inventory,Beginning Inventory,Net Margin
262,54,-6,2012/11/6,391,67,Small Market,Central,20,Beans,Coffee,G,14,121,WI,50,60,20,110,53,Regular,1607,260,265,12%
603,46,-10,2012/11/7,316,67,Small Market,East,14,Beans,Coffee,G,30,113,NH,40,60,40,100,37,Regular,1625,262,260,27%
603,43,-10,2012/11/8,452,66,Small Market,East,14,Beans,Coffee,H,20,109,NH,30,60,30,90,46,Regular,1688,270,262,18%
603,44,-18,2012/11/9,325,62,Small Market,East,40,Beans,Espresso,I,-8,106,NH,40,60,10,100,70,Regular,1753,278,270,-8%
225,53,19,2012/11/10,321,88,Small Market,South,16,Beans,Espresso,I,49,141,LA,40,60,30,100,39,Regular,1761,280,278,35%
425,54,-7,2012/11/11,391,67,Small Market,West,20,Beans,Espresso,I,13,121,WA,50,60,20,110,54,Regular,1767,279,280,11%
918,54,-7,2012/11/12,391,67,Small Market,South,20,Leaves,Herbal Tea,K,13,121,OK,50,60,20,110,54,Decaf,1821,271,279,11%
801,46,0,2012/11/13,316,67,Small Market,West,14,Leaves,Herbal Tea,K,30,113,UT,40,60,30,100,37,Decaf,1884,279,271,27%
435,43,-10,2012/11/14,452,66,Small Market,West,14,Leaves,Herbal Tea,A,20,109,UT,40,60,30,100,46,Decaf,1967,278,279,18%
509,47,4,2012/11/15,834,68,Small Market,West,13,Leaves,Herbal Tea,A,44,115,WA,40,60,40,100,24,Decaf,2014,277,278,38%
203,36,-7,2012/11/16,809,54,Small Market,East,10,Leaves,Tea,D,33,90,CT,30,60,40,90,21,Regular,2066,295,277,37%
206,61,1,2012/11/17,613,86,Small Market,West,55,Leaves,Tea,D,1,147,WA,40,60,0,100,85,Regular,2177,281,295,1%
682,43,-10,2012/11/18,531,56,Major Market,South,14,Beans,Coffee,F,30,99,TX,50,60,40,110,26,Decaf,2202,281,281,30%
214,54,12,2012/11/19,601,79,Major Market,South,15,Beans,Espresso,E,52,133,TX,40,60,40,100,27,Decaf,2211,285,281,39%
970,47,-6,2012/11/20,521,65,Major Market,Central,42,Leaves,Herbal Tea,A,-6,112,CO,40,60,0,100,71,Decaf,2265,282,285,-5%
303,54,-1,2012/11/21,424,73,Major Market,Central,17,Leaves,Herbal Tea,B,29,127,CO,50,60,30,110,44,Decaf,2281,274,282,23%
954,65,3,2012/11/22,403,80,Major Market,East,24,Leaves,Herbal Tea,A,23,145,FL,40,60,20,100,57,Decaf,2284,268,274,16%
561,80,20,2012/11/23,1079,96,Major Market,East,24,Leaves,Herbal Tea,B,50,176,FL,60,60,30,120,46,Decaf,2435,239,268,28%
469,54,-2,2012/11/24,424,73,Major Market,South,17,Leaves,Herbal Tea,K,28,127,TX,50,60,30,110,45,Decaf,2479,240,239,22%
214,41,-6,2012/11/25,435,60,Major Market,South,13,Leaves,Herbal Tea,A,24,101,TX,30,60,30,90,36,Decaf,2489,251,240,24%
619,54,3,2012/11/26,601,79,Major Market,West,15,Leaves,Tea,M,53,133,CA,30,60,50,90,26,Regular,2588,242,251,40%
314,31,-23,2012/11/27,844,46,Small Market,Central,8,Beans,Espresso,E,27,77,MO,30,60,50,90,19,Decaf,2611,261,242,35%
225,34,-19,2012/11/28,863,51,Small Market,South,9,Beans,Coffee,F,31,85,LA,40,60,50,100,20,Decaf,2654,280,261,36%
580,33,-22,2012/11/29,870,49,Small Market,South,9,Beans,Coffee,F,28,82,OK,30,60,50,90,21,Decaf,2669,307,280,34%
603,48,-2,2012/11/30,462,74,Small Market,East,15,Beans,Coffee,H,28,122,NH,40,60,30,100,46,Regular,2680,315,307,23%
985,55,-3,2012/12/1,-1053,76,Small Market,South,49,Beans,Espresso,J,-3,131,LA,40,60,0,100,79,Regular,2746,302,315,-2%
505,49,-15,2012/12/2,335,69,Small Market,South,44,Beans,Espresso,I,-5,118,NM,30,60,10,90,74,Regular,2817,297,302,-4%
775,39,-19,2012/12/3,250,49,Small Market,West,14,Beans,Coffee,H,1,88,NV,40,60,20,100,48,Regular,2868,309,297,1%
417,49,-5,2012/12/4,335,69,Small Market,Central,44,Leaves,Herbal Tea,K,-5,118,MO,40,60,0,100,74,Decaf,2961,302,309,-4%
920,41,0,2012/12/5,320,66,Small Market,Central,12,Leaves,Herbal Tea,K,30,107,WI,30,60,30,90,36,Decaf,2992,307,302,28%
573,92,-4,2012/12/6,1898,68,Small Market,Central,28,Leaves,Herbal Tea,A,16,160,MO,80,60,20,140,52,Decaf,3121,275,307,10%
475,68,7,2012/12/7,619,85,Small Market,East,25,Leaves,Herbal Tea,A,27,153,CT,50,60,20,110,58,Decaf,3139,257,275,18%
475,63,-4,2012/12/8,1075,76,Small Market,East,19,Leaves,Herbal Tea,B,36,139,CT,40,60,40,100,40,Decaf,3244,247,257,26%
435,92,-3,2012/12/9,1898,68,Small Market,West,28,Leaves,Herbal Tea,B,17,160,UT,80,60,20,140,51,Decaf,3368,213,247,11%
920,55,-3,2012/12/10,627,76,Small Market,Central,49,Leaves,Tea,M,-3,131,WI,40,60,0,100,79,Regular,3412,199,213,-2%
720,51,-37,2012/12/11,503,79,Major Market,Central,46,Leaves,Herbal Tea,A,-7,130,CO,30,60,30,90,76,Decaf,3470,202,199,-5%
970,52,-11,2012/12/12,405,79,Major Market,Central,17,Leaves,Herbal Tea,B,39,131,CO,30,60,50,90,45,Decaf,3517,206,202,30%
430,43,-8,2012/12/13,419,71,Major Market,South,13,Leaves,Herbal Tea,A,42,114,TX,30,60,50,90,36,Decaf,3534,218,206,37%
561,38,2,2012/12/14,871,62,Major Market,East,10,Leaves,Tea,C,52,100,FL,40,60,50,100,21,Regular,3593,221,218,52%
510,72,33,2012/12/15,650,122,Major Market,West,23,Leaves,Tea,D,83,194,CA,20,60,50,80,54,Regular,3653,199,221,43%
563,0,-14,2012/12/16,430,46,Small Market,Central,0,Beans,Espresso,E,46,46,IA,0,60,60,60,12,Decaf,3671,249,199,100%
203,47,-19,2012/12/17,375,71,Small Market,East,15,Beans,Espresso,E,31,118,CT,30,60,50,90,43,Decaf,3725,257,249,26%
405,27,-29,2012/12/18,859,43,Small Market,South,7,Beans,Coffee,F,31,70,OK,30,60,60,90,18,Decaf,3748,281,257,44%
775,31,-40,2012/12/19,1000,41,Small Market,West,9,Beans,Coffee,F,10,72,NV,30,60,50,90,30,Decaf,3789,298,281,14%
435,40,-5,2012/12/20,881,66,Small Market,West,11,Beans,Espresso,E,55,106,UT,20,60,60,80,22,Decaf,3813,312,298,52%
603,49,-11,2012/12/21,310,79,Small Market,East,15,Beans,Coffee,G,49,128,NH,30,60,60,90,38,Regular,3846,319,312,38%
603,45,-14,2012/12/22,447,76,Small Market,East,14,Beans,Coffee,H,36,121,NH,30,60,50,90,45,Regular,3891,317,319,30%
603,45,-40,2012/12/23,320,71,Small Market,East,41,Beans,Espresso,I,-10,116,NH,30,60,30,90,71,Regular,3982,332,317,-9%
504,60,-9,2012/12/24,-762,93,Small Market,South,54,Beans,Espresso,J,1,153,LA,30,60,10,90,83,Regular,4106,330,332,1%
702,34,-33,2012/12/25,240,48,Small Market,West,12,Beans,Coffee,H,-3,82,NV,40,60,30,100,45,Regular,4125,355,330,-4%
971,54,-22,2012/12/26,404,74,Small Market,West,20,Beans,Espresso,J,18,128,OR,40,60,40,100,54,Regular,4210,345,355,14%
573,45,-39,2012/12/27,320,71,Small Market,Central,41,Leaves,Herbal Tea,K,-9,116,MO,20,60,30,80,70,Decaf,4244,351,345,-8%
262,48,7,2012/12/28,851,78,Small Market,Central,13,Leaves,Herbal Tea,A,67,126,WI,30,60,60,90,25,Decaf,4272,354,351,53%
801,49,-11,2012/12/29,310,79,Small Market,West,15,Leaves,Herbal Tea,K,49,128,UT,30,60,60,90,38,Decaf,4369,361,354,38%
509,48,10,2012/12/30,829,79,Small Market,West,13,Leaves,Herbal Tea,A,70,127,WA,30,60,60,90,24,Decaf,4446,362,361,55%
475,40,3,2012/12/31,881,66,Small Market,East,11,Leaves,Tea,C,53,106,CT,40,60,50,100,23,Regular,4474,371,362,50%
503,82,45,2013/1/1,788,136,Small Market,West,27,Leaves,Tea,M,95,218,OR,30,60,50,90,59,Regular,4619,343,371,44%
541,91,63,2013/1/2,656,141,Small Market,West,28,Leaves,Tea,D,113,232,OR,40,60,50,100,51,Regular,4630,312,343,49%
936,40,-1,2013/1/3,536,58,Major Market,South,13,Beans,Coffee,F,39,98,TX,40,60,40,100,26,Decaf,4689,329,312,40%
254,50,31,2013/1/4,589,81,Major Market,South,14,Beans,Espresso,E,71,131,TX,30,60,40,90,25,Decaf,4742,324,329,54%
719,40,0,2013/1/5,536,58,Major Market,Central,13,Beans,Coffee,H,40,98,CO,30,60,40,90,25,Regular,4810,339,324,41%
339,52,-12,2013/1/6,554,76,Major Market,East,47,Beans,Espresso,I,-12,128,MA,50,60,0,110,76,Regular,4845,327,339,-9%
561,75,35,2013/1/7,1063,100,Major Market,East,23,Leaves,Herbal Tea,B,65,175,FL,50,60,30,110,45,Decaf,4983,299,327,37%
806,46,16,2013/1/8,424,75,Major Market,South,14,Leaves,Herbal Tea,A,46,121,TX,40,60,30,100,37,Decaf,5078,302,299,38%
719,55,2,2013/1/9,410,77,Major Market,Central,20,Leaves,Tea,C,22,132,CO,40,60,20,100,54,Regular,5150,291,302,17%
708,50,31,2013/1/10,589,81,Major Market,Central,14,Leaves,Tea,C,71,131,IL,40,60,40,100,25,Regular,5192,281,291,54%
719,57,13,2013/1/11,1042,76,Major Market,Central,17,Leaves,Tea,M,43,133,CO,40,60,30,100,39,Regular,5273,279,281,32%
351,36,6,2013/1/12,862,58,Major Market,East,10,Leaves,Tea,C,46,94,MA,30,60,40,90,21,Regular,5333,284,279,49%
636,33,-10,2013/1/13,836,53,Small Market,Central,9,Beans,Espresso,E,40,86,MO,40,60,50,100,21,Decaf,5374,308,284,47%
504,31,-8,2013/1/14,856,52,Small Market,South,8,Beans,Coffee,F,42,83,LA,30,60,50,90,19,Decaf,5392,330,308,51%
580,36,5,2013/1/15,862,58,Small Market,South,10,Beans,Coffee,F,45,94,OK,40,60,40,100,22,Decaf,5421,340,330,48%
337,49,20,2013/1/16,454,79,Small Market,South,15,Beans,Espresso,E,50,128,LA,30,60,30,90,37,Decaf,5475,332,340,39%
262,54,1,2013/1/17,391,75,Small Market,Central,20,Beans,Coffee,G,21,129,WI,50,60,20,110,53,Regular,5483,338,332,16%
603,46,5,2013/1/18,316,74,Small Market,East,14,Beans,Coffee,G,45,120,NH,40,60,40,100,37,Regular,5563,345,338,38%
603,43,0,2013/1/19,452,73,Small Market,East,14,Beans,Coffee,H,30,116,NH,30,60,30,90,46,Regular,5578,349,345,26%
603,44,-22,2013/1/20,325,69,Small Market,East,40,Beans,Espresso,I,-12,113,NH,40,60,10,100,70,Regular,5646,351,349,-11%
318,53,43,2013/1/21,321,97,Small Market,South,16,Beans,Espresso,I,73,150,LA,40,60,30,100,39,Regular,5713,357,351,49%
206,54,-1,2013/1/22,391,75,Small Market,West,20,Beans,Espresso,I,19,129,WA,50,60,20,110,54,Regular,5814,357,357,15%
580,54,-1,2013/1/23,391,75,Small Market,South,20,Leaves,Herbal Tea,K,19,129,OK,50,60,20,110,54,Decaf,5910,355,357,15%
435,46,15,2013/1/24,316,74,Small Market,West,14,Leaves,Herbal Tea,K,45,120,UT,40,60,30,100,37,Decaf,5988,349,355,38%
435,43,0,2013/1/25,452,73,Small Market,West,14,Leaves,Herbal Tea,A,30,116,UT,40,60,30,100,46,Decaf,6075,346,349,26%
253,47,25,2013/1/26,834,76,Small Market,West,13,Leaves,Herbal Tea,A,65,123,WA,40,60,40,100,24,Decaf,6173,348,346,53%
203,36,9,2013/1/27,809,60,Small Market,East,10,Leaves,Tea,D,49,96,CT,30,60,40,90,21,Regular,6193,368,348,51%
509,61,1,2013/1/28,613,96,Small Market,West,55,Leaves,Tea,D,1,157,WA,40,60,0,100,85,Regular,6236,337,368,1%
956,43,5,2013/1/29,531,63,Major Market,South,14,Beans,Coffee,F,45,106,TX,50,60,40,110,26,Decaf,6284,319,337,42%
430,54,37,2013/1/30,601,88,Major Market,South,15,Beans,Espresso,E,77,142,TX,40,60,40,100,27,Decaf,6330,665,319,54%
719,47,-9,2013/1/31,521,72,Major Market,Central,42,Leaves,Herbal Tea,A,-9,119,CO,40,60,0,100,71,Decaf,6335,643,665,-8%
970,54,13,2013/2/1,424,81,Major Market,Central,17,Leaves,Herbal Tea,B,43,135,CO,50,60,30,110,44,Decaf,6368,605,643,32%
305,65,14,2013/2/2,403,90,Major Market,East,24,Leaves,Herbal Tea,A,34,155,FL,40,60,20,100,57,Decaf,6450,593,605,22%
407,80,44,2013/2/3,1079,108,Major Market,East,24,Leaves,Herbal Tea,B,74,188,FL,60,60,30,120,46,Decaf,6489,519,593,39%
325,54,12,2013/2/4,424,81,Major Market,South,17,Leaves,Herbal Tea,K,42,135,TX,50,60,30,110,45,Decaf,6542,480,519,31%
430,41,6,2013/2/5,435,67,Major Market,South,13,Leaves,Herbal Tea,A,36,108,TX,30,60,30,90,36,Decaf,6596,464,480,33%
408,54,29,2013/2/6,601,88,Major Market,West,15,Leaves,Tea,M,79,142,CA,30,60,50,90,26,Regular,6683,422,464,56%
816,31,-10,2013/2/7,844,51,Small Market,Central,8,Beans,Espresso,E,40,82,MO,30,60,50,90,19,Decaf,6700,445,422,49%
337,34,-4,2013/2/8,863,57,Small Market,South,9,Beans,Coffee,F,46,91,LA,40,60,50,100,20,Decaf,6744,456,445,51%
918,33,-8,2013/2/9,870,54,Small Market,South,9,Beans,Coffee,F,42,87,OK,30,60,50,90,21,Decaf,6796,472,456,48%
603,48,12,2013/2/10,462,82,Small Market,East,15,Beans,Coffee,H,42,130,NH,40,60,30,100,46,Regular,6823,433,472,32%
225,55,-4,2013/2/11,-1053,85,Small Market,South,49,Beans,Espresso,J,-4,140,LA,40,60,0,100,79,Regular,6881,428,433,-3%
505,49,-17,2013/2/12,335,77,Small Market,South,44,Beans,Espresso,I,-7,126,NM,30,60,10,90,74,Regular,6928,409,428,-6%
702,39,-19,2013/2/13,250,55,Small Market,West,14,Beans,Coffee,H,1,94,NV,40,60,20,100,48,Regular,6977,426,409,1%
314,49,-7,2013/2/14,335,77,Small Market,Central,44,Leaves,Herbal Tea,K,-7,126,MO,40,60,0,100,74,Decaf,6980,421,426,-6%
920,41,15,2013/2/15,320,73,Small Market,Central,12,Leaves,Herbal Tea,K,45,114,WI,30,60,30,90,36,Decaf,7036,432,421,39%
417,92,4,2013/2/16,1898,79,Small Market,Central,28,Leaves,Herbal Tea,A,24,171,MO,80,60,20,140,52,Decaf,7125,378,432,14%
860,68,20,2013/2/17,619,95,Small Market,East,25,Leaves,Herbal Tea,A,40,163,CT,50,60,20,110,58,Decaf,7248,331,378,25%
203,63,13,2013/2/18,1075,85,Small Market,East,19,Leaves,Herbal Tea,B,53,148,CT,40,60,40,100,40,Decaf,7266,305,331,36%
435,92,5,2013/2/19,1898,79,Small Market,West,28,Leaves,Herbal Tea,B,25,171,UT,80,60,20,140,51,Decaf,7337,255,305,15%
262,55,-4,2013/2/20,627,85,Small Market,Central,49,Leaves,Tea,M,-4,140,WI,40,60,0,100,79,Regular,7351,600,255,-3%
719,39,-23,2013/2/21,541,51,Major Market,Central,12,Beans,Coffee,H,27,90,CO,30,50,50,80,24,Regular,7377,598,600,30%
305,80,8,2013/2/22,1055,94,Major Market,East,24,Leaves,Herbal Tea,B,48,174,FL,40,50,40,90,46,Decaf,7469,553,598,28%
303,54,-17,2013/2/23,404,66,Major Market,Central,20,Leaves,Tea,C,13,120,CO,30,50,30,80,53,Regular,7542,543,553,11%
303,54,-13,2013/2/24,1037,64,Major Market,Central,16,Leaves,Tea,M,27,118,CO,30,50,40,80,37,Regular,7632,524,543,23%
508,27,-30,2013/2/25,859,39,Major Market,East,7,Leaves,Tea,C,20,66,MA,20,50,50,70,19,Regular,7659,521,524,30%
209,76,29,2013/2/26,580,111,Major Market,West,21,Leaves,Tea,M,79,187,CA,30,50,50,80,32,Regular,7698,474,521,42%
715,22,-40,2013/2/27,573,29,Small Market,Central,7,Beans,Espresso,E,10,51,WI,20,50,50,70,19,Decaf,7723,456,474,20%
319,23,-32,2013/2/28,800,35,Small Market,Central,6,Beans,Espresso,I,18,58,IA,20,50,50,70,17,Regular,7727,452,456,31%
959,79,4,2013/3/1,593,98,Small Market,East,30,Leaves,Herbal Tea,A,34,177,CT,40,50,30,90,64,Decaf,7850,388,452,19%
860,65,-15,2013/3/2,1053,77,Small Market,East,20,Leaves,Herbal Tea,B,35,142,CT,30,50,50,80,42,Decaf,7902,723,388,25%
262,46,-10,2013/3/3,449,67,Small Market,Central,14,Leaves,Tea,C,30,113,WI,20,50,40,70,37,Regular,7909,700,723,27%
715,60,0,2013/3/4,606,84,Small Market,Central,54,Leaves,Tea,M,0,144,WI,40,50,0,90,84,Regular,7978,690,700,0%
206,60,17,2013/3/5,329,99,Small Market,West,18,Leaves,Tea,C,57,159,WA,20,50,40,70,42,Regular,8021,686,690,36%
773,40,-3,2013/3/6,536,52,Major Market,Central,13,Leaves,Herbal Tea,A,27,92,IL,30,50,30,80,25,Decaf,8065,651,686,29%
614,36,-10,2013/3/7,862,52,Major Market,Central,10,Leaves,Herbal Tea,A,30,88,OH,30,50,40,80,22,Decaf,8090,618,651,34%
617,55,-5,2013/3/8,410,69,Major Market,East,20,Leaves,Herbal Tea,A,15,124,MA,40,50,20,90,54,Decaf,8161,589,618,12%
707,40,-3,2013/3/9,536,52,Major Market,West,13,Leaves,Herbal Tea,B,27,92,CA,30,50,30,80,25,Decaf,8191,558,589,29%
352,28,-17,2013/3/10,875,42,Major Market,East,7,Leaves,Tea,C,23,70,FL,20,50,40,70,19,Regular,8208,580,558,33%
561,31,-12,2013/3/11,856,47,Major Market,East,8,Leaves,Tea,D,28,78,FL,30,50,40,80,19,Regular,8219,597,580,36%
351,32,-11,2013/3/12,482,48,Major Market,East,8,Leaves,Tea,D,29,80,MA,30,50,40,80,19,Regular,8231,565,597,36%
650,50,7,2013/3/13,589,73,Major Market,West,14,Leaves,Tea,M,47,123,CA,30,50,40,80,26,Regular,8283,542,565,38%
712,0,-9,2013/3/14,387,43,Small Market,Central,0,Beans,Espresso,E,31,43,IA,0,50,40,50,12,Decaf,8299,594,542,72%
505,82,-18,2013/3/15,1804,40,Small Market,South,25,Beans,Coffee,F,-8,122,NM,90,50,10,140,48,Decaf,8365,538,594,-7%
515,22,-24,2013/3/16,802,34,Small Market,Central,6,Beans,Espresso,I,16,56,IA,20,50,40,70,18,Regular,8386,540,538,29%
505,44,-7,2013/3/17,325,62,Small Market,South,40,Beans,Espresso,I,-7,106,NM,30,50,0,80,69,Regular,8451,553,540,-7%
775,33,-14,2013/3/18,243,41,Small Market,West,12,Beans,Coffee,H,-4,74,NV,30,50,10,80,45,Regular,8491,528,553,-5%
573,44,-8,2013/3/19,325,62,Small Market,Central,40,Leaves,Herbal Tea,K,-8,106,MO,40,50,0,90,70,Decaf,8483,526,528,-8%
262,31,-13,2013/3/20,856,47,Small Market,Central,8,Leaves,Herbal Tea,A,27,78,WI,20,50,40,70,20,Decaf,8449,551,526,35%
475,69,8,2013/3/21,1060,81,Small Market,East,21,Leaves,Herbal Tea,B,38,150,CT,50,50,30,100,43,Decaf,8457,486,551,25%
262,49,13,2013/3/22,454,71,Small Market,Central,15,Leaves,Tea,C,33,120,WI,40,50,20,90,38,Regular,8400,438,486,28%
206,49,4,2013/3/23,454,71,Small Market,West,15,Leaves,Tea,M,34,120,WA,30,50,30,80,37,Regular,8374,416,438,28%
970,43,-1,2013/3/24,531,56,Major Market,Central,14,Beans,Coffee,H,29,99,CO,40,50,30,90,27,Regular,8441,420,416,29%
614,41,4,2013/3/25,435,60,Major Market,Central,13,Beans,Coffee,H,24,101,OH,40,50,20,90,36,Regular,8421,402,420,24%
339,47,-10,2013/3/26,571,52,Major Market,East,42,Beans,Espresso,I,-20,99,MA,40,50,-10,90,72,Regular,8429,380,402,-20%
773,43,-1,2013/3/27,531,56,Major Market,Central,14,Leaves,Herbal Tea,A,29,99,IL,40,50,30,90,27,Decaf,8479,367,380,29%
805,43,-1,2013/3/28,531,56,Major Market,West,14,Leaves,Herbal Tea,B,29,99,CA,40,50,30,90,27,Decaf,8506,336,367,29%
303,46,-4,2013/3/29,422,57,Major Market,Central,17,Leaves,Tea,C,6,103,CO,30,50,10,80,51,Regular,8554,323,336,6%
303,53,6,2013/3/30,1054,63,Major Market,Central,16,Leaves,Tea,M,26,116,CO,40,50,20,90,37,Regular,8523,270,323,22%
617,33,-11,2013/3/31,870,49,Major Market,East,9,Leaves,Tea,C,29,82,MA,30,50,40,80,20,Regular,8515,285,270,35%
863,34,-10,2013/4/1,863,51,Major Market,East,9,Leaves,Tea,D,30,85,FL,30,50,40,80,21,Regular,8451,269,285,35%
641,0,-8,2013/4/2,344,43,Small Market,Central,0,Beans,Espresso,E,32,43,IA,0,50,40,50,11,Decaf,8404,325,269,74%
225,43,7,2013/4/3,466,63,Small Market,South,13,Beans,Espresso,E,27,106,LA,30,50,20,80,36,Decaf,8359,682,325,25%
702,31,-22,2013/4/4,1009,38,Small Market,West,9,Beans,Coffee,F,8,69,NV,30,50,30,80,30,Decaf,8260,658,682,12%
515,23,-23,2013/4/5,807,35,Small Market,Central,6,Beans,Espresso,I,17,58,IA,20,50,40,70,18,Regular,8275,638,658,29%
985,41,11,2013/4/6,320,66,Small Market,South,12,Beans,Espresso,I,31,107,LA,30,50,20,80,35,Regular,8272,654,638,29%
971,46,-4,2013/4/7,422,57,Small Market,West,17,Beans,Espresso,J,6,103,OR,40,50,10,90,51,Regular,8199,614,654,6%
262,43,8,2013/4/8,466,63,Small Market,Central,13,Leaves,Tea,C,28,106,WI,30,50,20,80,35,Regular,8113,597,614,26%
959,33,-12,2013/4/9,818,49,Small Market,East,9,Leaves,Tea,D,28,82,CT,30,50,40,80,21,Regular,8058,617,597,34%
